Date,Open,High,Low,Close,Adjusted_close,Volume
2022-03-31,177.84,178.03,174.4,174.61,174.112,103049300
2022-04-01,174.03,174.88,171.94,174.31,173.8128,78751300
2022-04-04,174.57,178.49,174.44,178.44,177.9311,76468400
2022-04-05,177.5,178.3,174.42,175.06,174.5607,73401800
2022-04-06,172.36,173.63,170.13,171.83,171.3399,89058800
2022-04-07,171.16,173.36,169.85,172.14,171.649,77594700
2022-04-08,171.78,171.78,169.2,170.09,169.6049,76575500
2022-04-11,168.71,169.03,165.5,165.75,165.2772,72246700
2022-04-12,168.02,169.87,166.64,167.66,167.1818,79265200
2022-04-13,167.39,171.04,166.77,170.4,169.914,70618900
2022-04-14,170.62,171.27,165.04,165.29,164.8186,75329400
2022-04-18,163.92,166.6,163.57,165.07,164.5992,69023900
2022-04-19,165.02,167.82,163.91,167.4,166.9225,67723800
2022-04-20,168.76,168.88,166.1,167.23,166.753,67929800
2022-04-21,168.91,171.53,165.91,166.42,165.9453,87227800
2022-04-22,166.46,167.87,161.5,161.79,161.3285,84882400
2022-04-25,161.12,163.17,158.46,162.88,162.4154,96046400
2022-04-26,162.25,162.34,156.72,156.8,156.3528,95623200
2022-04-27,155.91,159.79,155.38,156.57,156.1234,88063200
2022-04-28,159.25,164.52,158.93,163.64,163.1733,130216800
2022-04-29,161.84,166.2,157.25,157.65,157.2003,131747600
2022-05-02,156.71,158.23,153.27,157.96,157.5095,123055300
2022-05-03,158.15,160.71,156.32,159.48,159.0251,88966500
2022-05-04,159.67,166.48,159.26,166.02,165.5465,108256500
2022-05-05,163.85,164.08,154.95,156.77,156.3229,130525300
2022-05-06,156.01,159.44,154.18,157.28,157.0618,116124600
2022-05-09,154.93,155.83,151.49,152.06,151.8491,131577900
2022-05-10,155.52,156.74,152.93,154.51,154.2957,115366700
2022-05-11,153.5,155.45,145.81,146.5,146.2968,142689800
2022-05-12,142.77,146.2,138.8,142.56,142.3623,182602000
2022-05-13,144.59,148.1,143.11,147.11,146.9059,113990900
2022-05-16,145.55,147.52,144.18,145.54,145.3381,86643800
2022-05-17,148.86,149.77,146.68,149.24,149.033,78336300
2022-05-18,146.85,147.36,139.9,140.82,140.6247,109742900
2022-05-19,139.88,141.66,136.6,137.35,137.1595,136095600
2022-05-20,139.09,140.7,132.61,137.59,137.3991,137426100
2022-05-23,137.79,143.26,137.65,143.11,142.9115,117726300
2022-05-24,140.81,141.97,137.33,140.36,140.1653,104132700
2022-05-25,138.43,141.79,138.34,140.52,140.3251,92482700
2022-05-26,137.39,144.34,137.14,143.78,143.5806,90601500
2022-05-27,145.39,149.68,145.26,149.64,149.4324,90978500
2022-05-31,149.07,150.66,146.84,148.84,148.6335,103718400
2022-06-01,149.9,151.74,147.68,148.71,148.5037,74286600
2022-06-02,147.83,151.27,146.86,151.21,151.0003,72348100
2022-06-03,146.9,147.97,144.46,145.38,145.1783,88570300
